0,8822
1,9359
1,7172
1,8820
1,9965
1,9568
0,9127
1,10202
1,9218
1,9734
1,10168
1,9361
1,8155
0,9425
0,9483
1,7660
1,10339
1,8764
1,10283
0,10049
1,8071
1,8619
0,9621
0,9244
1,6531
1,8236
1,10335
1,10264
1,7375
0,8813
1,9607
0,9394
1,9051
1,6017
1,8846
1,8268
1,7965
1,8436
1,9951
1,8964
1,8797
1,8133
0,9637
1,8265
1,9743
1,9713
0,8600
1,7681
1,7181
1,7706
0,11929
1,6931
0,10727
0,8306
1,9316
1,9852
1,6816
1,7736
0,11285
1,6762
1,9537
0,10273
0,9998
0,10791
1,4201
1,9340
0,9695
1,9309
1,9113
1,8238
0,8709
1,9396
1,9997
0,10416
1,6097
1,5985
0,10528
1,8897
1,8441
0,10072
1,8185
1,8664
1,6270
1,8722
0,9087
1,9421
1,8033
1,7861
1,8936
1,6185
1,8430
0,8792
1,9190
1,7728
1,9213
1,9140
0,9957
0,9476
1,8896
1,6512
1,9244
1,7999
0,10827
1,5745
0,8725
0,10438
1,7559
1,8544
1,8824
1,8409
1,10316
1,8466
0,8888
1,10395
0,9508
1,6118
1,7585
0,10365
1,8714
0,9495
1,10112
1,7818
1,8141
0,10130
1,7817
0,8105
1,5248
1,6854
0,9025
1,7679
1,9584
1,7641
0,8677
0,8805
0,9504
0,9950
0,8888
0,9853
0,8457
0,9233
0,7978
0,10385
0,9919
1,7350
1,5803
0,9509
1,10152
0,8846
0,9097
0,9959
0,10810
0,10663
0,9347
0,9807
0,9310
0,10815
1,10383
0,9291
0,8574
0,7913
0,10081
0,10299
1,8712
0,7624
0,9813
0,8539
0,9162
0,9402
1,10004
1,9909
0,9140
1,9968
0,8454
1,9065
0,10087
1,5450
1,9651
1,7688
0,9330
1,7647
0,9010
1,9720
0,8732
1,8383
1,7449
1,10145
1,8034
1,7590
0,9804
0,8239
1,9630
0,9462
0,8826
0,9778
0,9427
0,9042
1,7334
0,9695
0,10745
1,7753
0,9527
0,11504
0,10094
1,8215
0,9122
1,8260
0,9455
0,10376
0,10528
0,9567
0,9434
0,9826
1,11126
1,8151
0,8842
0,9880
1,10236
1,9423
1,8738
1,9714
1,6818
1,8544
0,8699
0,8992
0,10195
0,7673
0,9281
0,10400
0,9133
1,8218
1,10744
1,7389
1,7680
0,8726
1,5992
0,9747
1,7611
1,9536
1,9490
0,11251
0,8734
1,8480
0,9192
0,9480
1,8640
0,10467
1,7651
0,10333
0,8391
1,8327
1,9788
0,9415
0,8778
0,10107
0,10727
1,7915
0,8942
0,10359
0,9725
0,11249
0,9464
1,10286
0,8736
1,9907
0,9885
0,9550
0,9932
0,9744
0,9020
1,9491
1,10136
0,9009
1,8622
1,9361
1,10979
0,7889
0,8999
0,9903
1,8570
0,9594
1,8485
0,7928
0,8724
0,8479
0,10027
1,9437
1,9126
0,9126
0,8658
1,8042
0,8273
1,6239
0,9575
1,9931
0,10591
0,9986
0,9582
0,9012
0,9773
0,8868
1,8025
1,9452
1,9070
0,9930
1,10272
1,9938
0,9897
1,7570
1,8397
1,9020
0,8835
1,8543
1,8677
1,9093
1,10622
1,7776
0,11427
1,8026
1,8057
1,8503
0,9285
1,8612
0,9542
0,8775
1,10949
1,7150
0,10826
1,9386
0,8602
0,9689
1,9429
1,7998
1,7224
0,8802
1,10816
1,6757
0,11358
1,8196
1,7689
1,6769
0,9010
1,8699
1,8920
0,9465
1,8133
1,8425
1,8215
0,10834
1,9463
1,7859
0,10174
0,11047
0,10612
1,11348
0,10359
1,7916
1,9732
0,9248
0,11092
1,8446
0,8104
1,8680
0,10272
1,9965
0,8689
1,8319
1,6550
1,8911
0,8265
0,8384
1,9815
0,8993
1,10324
1,7042
0,8860
0,9421
1,6633
0,9023
1,7913
1,8346
1,9389
0,9593
1,10220
1,8697
0,11944
1,9543
1,7050
1,9001
0,11581
0,9872
1,8591
0,9338
1,7694
1,8783
0,9486
0,8526
1,9522
1,10770
0,9444
1,7412
0,8505
1,7974
1,8312
0,9604
0,8769
0,11065
1,4913
1,7016
0,10397
1,9544
0,9950
1,8099
0,10068
1,7814
0,9072
1,6395
1,8287
0,9219
0,9486
1,7060
0,10547
1,7886
0,8850
1,8823
0,9256
0,10035
1,9916
1,7563
1,8112
1,8389
0,8682
0,8851
0,9192
1,7737
0,9852
0,9602
1,7919
1,9586
0,10010
0,10895
0,9506
1,8697
1,8029
0,10177
1,8172
0,9155
1,9623
1,6154
1,9207
1,8198
1,7277
0,9250
1,9484
1,7581
0,9689
0,10150
0,9015
0,10794
0,10316
1,6497
0,10958
1,9459
1,8133
1,9419
0,11260
1,9147
0,8500
0,8807
0,10123
0,10287
1,10146
0,11274
0,10866
0,9984
0,11090
0,11165
0,9716
1,6436
0,9383
1,10068
1,8679
1,7141
1,6729
0,9486
1,10508
0,11256
1,9900
1,8481
1,5595
0,10774
1,9704
0,10356
0,8950
1,7724
1,8454
1,10508
1,8677
0,8186
1,9388
0,8131
1,8224
1,6450
0,10692
0,8940
0,7864
1,8071
1,7859
1,4859
0,9936
0,9093
1,6364
1,10296
0,9421
0,8422
0,9120
1,8380
0,11037
1,9629
0,10610
1,6731
1,8165
0,9748
0,8567
0,9362
1,7589
1,7515
0,9538
0,8161
1,7005
1,6981
0,9015
1,9406
0,10280
0,9912
0,8197
1,7001
0,9425
0,8599
0,8093
0,9606
0,9882
1,6431
0,9312
0,9490
0,9662
0,9222
1,9098
1,8932
1,8749
0,8947
1,7984
0,7899
0,10303
1,6758
1,7981
1,8296
0,10592
1,6276
0,9133
1,8893
0,10359
0,7382
1,6641
1,8383
0,9852
1,7206
1,7625
0,10357
1,6356
1,8136
1,6773
1,8175
0,9226
1,9192
0,9522
1,9174
1,7136
1,8268
0,7848
1,8794
1,9138
0,9404
1,8762
1,9196
0,6918
1,7883
1,5894
0,9434
0,9038
1,9830
1,9725
0,8540
0,8840
0,9958
0,8513
0,9453
1,9015
0,10436
0,9492
1,8447
1,9774
1,7756
0,8930
0,9051
1,6453
1,9372
1,7650
1,10470
0,9295
0,9407
1,7177
0,8325
1,7727
1,8351
1,7246
1,7902
0,11096
1,6098
1,6253
