,game_result,game_score,win_rate
0,1,9359,78.57142857
1,1,7172,78.57142857
2,1,8820,78.57142857
3,1,9965,78.57142857
4,1,9568,78.57142857
5,0,9127,71.42857143
6,1,10202,78.57142857
7,1,9218,78.57142857
8,1,9734,71.42857143
9,1,10168,64.28571429
10,1,9361,64.28571429
11,1,8155,64.28571429
12,0,9425,64.28571429
13,0,9483,71.42857143
14,1,7660,78.57142857
15,1,10339,71.42857143
16,1,8764,71.42857143
17,1,10283,64.28571429
18,0,10049,64.28571429
19,1,8071,71.42857143
20,1,8619,71.42857143
21,0,9621,71.42857143
22,0,9244,78.57142857
23,1,6531,85.71428571
24,1,8236,85.71428571
25,1,10335,85.71428571
26,1,10264,85.71428571
27,1,7375,85.71428571
28,0,8813,78.57142857
29,1,9607,85.71428571
30,0,9394,85.71428571
31,1,9051,92.85714286
32,1,6017,85.71428571
33,1,8846,85.71428571
34,1,8268,85.71428571
35,1,7965,85.71428571
36,1,8436,78.57142857
37,1,9951,78.57142857
38,1,8964,71.42857143
39,1,8797,64.28571429
40,1,8133,64.28571429
41,0,9637,64.28571429
42,1,8265,71.42857143
43,1,9743,71.42857143
44,1,9713,64.28571429
45,0,8600,64.28571429
46,1,7681,71.42857143
47,1,7181,64.28571429
48,1,7706,57.14285714
49,0,11929,50
50,1,6931,57.14285714
51,0,10727,57.14285714
52,0,8306,57.14285714
53,1,9316,64.28571429
54,1,9852,64.28571429
55,1,6816,64.28571429
56,1,7736,57.14285714
57,0,11285,57.14285714
58,1,6762,64.28571429
59,1,9537,57.14285714
60,0,10273,57.14285714
61,0,9998,64.28571429
62,0,10791,64.28571429
63,1,4201,71.42857143
64,1,9340,71.42857143
65,0,9695,64.28571429
66,1,9309,71.42857143
67,1,9113,71.42857143
68,1,8238,71.42857143
69,0,8709,71.42857143
70,1,9396,71.42857143
71,1,9997,71.42857143
72,0,10416,71.42857143
73,1,6097,78.57142857
74,1,5985,78.57142857
75,0,10528,78.57142857
76,1,8897,85.71428571
77,1,8441,78.57142857
78,0,10072,78.57142857
79,1,8185,85.71428571
80,1,8664,85.71428571
81,1,6270,85.71428571
82,1,8722,78.57142857
83,0,9087,71.42857143
84,1,9421,78.57142857
85,1,8033,78.57142857
86,1,7861,78.57142857
87,1,8936,78.57142857
88,1,6185,71.42857143
89,1,8430,71.42857143
90,0,8792,64.28571429
91,1,9190,64.28571429
92,1,7728,64.28571429
93,1,9213,64.28571429
94,1,9140,64.28571429
95,0,9957,64.28571429
96,0,9476,71.42857143
97,1,8896,78.57142857
98,1,6512,71.42857143
99,1,9244,71.42857143
100,1,7999,64.28571429
101,0,10827,64.28571429
102,1,5745,71.42857143
103,0,8725,64.28571429
104,0,10438,71.42857143
105,1,7559,71.42857143
106,1,8544,71.42857143
107,1,8824,71.42857143
108,1,8409,71.42857143
109,1,10316,64.28571429
110,1,8466,64.28571429
111,0,8888,57.14285714
112,1,10395,64.28571429
113,0,9508,64.28571429
114,1,6118,64.28571429
115,1,7585,64.28571429
116,0,10365,64.28571429
117,1,8714,71.42857143
118,0,9495,64.28571429
119,1,10112,64.28571429
120,1,7818,57.14285714
121,1,8141,50
122,0,10130,42.85714286
123,1,7817,42.85714286
124,0,8105,35.71428571
125,1,5248,35.71428571
126,1,6854,28.57142857
127,0,9025,21.42857143
128,1,7679,21.42857143
129,1,9584,21.42857143
130,1,7641,21.42857143
131,0,8677,14.28571429
132,0,8805,21.42857143
