,game_result,game_score,win_rate
0,1,8673,85.71428571428571
1,0,10273,85.71428571428571
2,1,8052,92.85714285714286
3,1,8698,92.85714285714286
4,1,10130,85.71428571428571
5,1,6874,85.71428571428571
6,1,8878,85.71428571428571
7,1,9702,85.71428571428571
8,1,9190,85.71428571428571
9,1,9047,85.71428571428571
10,1,8038,78.57142857142857
11,1,8327,78.57142857142857
12,0,10061,78.57142857142857
13,1,9550,78.57142857142857
14,1,7509,78.57142857142857
15,1,8969,78.57142857142857
16,1,9201,78.57142857142857
17,0,9753,71.42857142857143
18,1,8910,71.42857142857143
19,1,7515,71.42857142857143
20,1,9380,71.42857142857143
21,1,10058,71.42857142857143
22,1,7063,71.42857142857143
23,0,9836,64.28571428571429
24,1,7264,71.42857142857143
25,1,8236,71.42857142857143
26,0,10751,71.42857142857143
27,1,9044,78.57142857142857
28,1,7246,78.57142857142857
29,1,7541,78.57142857142857
30,0,10633,71.42857142857143
31,0,9346,78.57142857142857
32,1,7182,78.57142857142857
33,1,8645,71.42857142857143
34,1,8700,71.42857142857143
35,1,8940,64.28571428571429
36,0,8533,64.28571428571429
37,1,8286,71.42857142857143
38,1,8939,64.28571428571429
39,1,8566,64.28571428571429
40,1,9283,57.14285714285714
41,1,9133,50.0
42,1,8804,42.857142857142854
43,0,9489,42.857142857142854
44,1,9139,50.0
45,0,10227,50.0
46,0,9919,57.14285714285714
47,1,9272,64.28571428571429
48,0,9624,57.14285714285714
49,1,7838,64.28571428571429
50,1,9239,57.14285714285714
51,0,10182,57.14285714285714
52,1,6774,57.14285714285714
53,0,9699,50.0
54,0,10164,50.0
55,0,9387,57.14285714285714
56,1,7981,57.14285714285714
57,1,8341,57.14285714285714
58,1,7738,57.14285714285714
59,1,7799,57.14285714285714
60,1,7639,50.0
61,0,11002,50.0
62,1,8866,57.14285714285714
63,0,9542,57.14285714285714
64,1,6440,57.14285714285714
65,0,9220,57.14285714285714
66,0,10824,64.28571428571429
67,0,9973,71.42857142857143
68,1,8876,78.57142857142857
69,0,10217,71.42857142857143
70,1,7951,78.57142857142857
71,1,8483,78.57142857142857
72,1,8901,78.57142857142857
73,0,9746,78.57142857142857
74,1,9593,85.71428571428571
75,1,8307,85.71428571428571
76,1,6667,85.71428571428571
77,0,10652,85.71428571428571
78,1,9787,92.85714285714286
79,1,9323,85.71428571428571
80,1,8956,85.71428571428571
81,1,8431,85.71428571428571
82,0,7777,78.57142857142857
83,1,9189,78.57142857142857
84,1,7689,71.42857142857143
85,1,7941,71.42857142857143
86,1,9175,71.42857142857143
87,1,8844,64.28571428571429
88,1,9393,64.28571428571429
89,1,8549,64.28571428571429
90,1,7788,64.28571428571429
91,1,7153,57.14285714285714
92,0,9323,50.0
93,1,7881,57.14285714285714
94,1,8718,57.14285714285714
95,0,9770,50.0
96,0,9467,50.0
97,0,8689,57.14285714285714
98,1,8024,64.28571428571429
99,1,8220,57.14285714285714
100,0,10244,50.0
101,1,6335,57.14285714285714
102,1,7255,57.14285714285714
103,1,9222,57.14285714285714
104,0,9917,57.14285714285714
105,0,10420,57.14285714285714
106,1,6561,57.14285714285714
107,1,9049,57.14285714285714
108,0,9120,50.0
109,0,9358,57.14285714285714
110,1,8632,64.28571428571429
111,1,6115,64.28571428571429
112,0,9810,64.28571428571429
113,0,10903,71.42857142857143
114,1,8313,78.57142857142857
115,1,9451,78.57142857142857
116,1,8459,78.57142857142857
117,1,8778,71.42857142857143
118,0,10452,64.28571428571429
119,0,8612,64.28571428571429
120,1,8427,71.42857142857143
121,0,9224,71.42857142857143
122,1,8129,78.57142857142857
123,1,6265,78.57142857142857
124,1,7369,71.42857142857143
125,1,8141,71.42857142857143
126,1,9650,71.42857142857143
127,1,9519,71.42857142857143
128,1,8771,64.28571428571429
129,1,8099,64.28571428571429
130,0,8899,64.28571428571429
131,0,11070,71.42857142857143
132,0,9089,71.42857142857143
133,1,8178,78.57142857142857
134,1,10049,78.57142857142857
135,1,7152,71.42857142857143
136,1,8692,71.42857142857143
137,0,10092,64.28571428571429
138,1,8216,64.28571428571429
139,1,6735,64.28571428571429
140,1,10567,57.14285714285714
141,0,11247,50.0
142,1,7137,57.14285714285714
143,1,9306,57.14285714285714
144,1,7557,57.14285714285714
145,0,8931,50.0
146,1,10541,57.14285714285714
147,1,8982,57.14285714285714
148,0,9253,57.14285714285714
149,1,10434,64.28571428571429
150,0,10049,64.28571428571429
151,0,9580,64.28571428571429
152,1,8227,71.42857142857143
153,0,9639,64.28571428571429
154,0,10463,71.42857142857143
155,1,7323,71.42857142857143
156,1,6860,71.42857142857143
157,1,8191,64.28571428571429
158,0,10030,57.14285714285714
159,1,6984,64.28571428571429
160,1,9962,57.14285714285714
161,1,7854,57.14285714285714
162,1,5507,50.0
163,1,6985,42.857142857142854
164,0,9202,42.857142857142854
165,1,9096,50.0
166,0,9447,50.0
167,1,8012,57.14285714285714
168,0,8887,57.14285714285714
169,1,7986,64.28571428571429
170,0,9297,57.14285714285714
171,0,9411,57.14285714285714
172,1,9411,57.14285714285714
173,0,10031,50.0
174,1,10354,57.14285714285714
175,0,10122,57.14285714285714
176,0,9917,57.14285714285714
177,1,9585,57.14285714285714
178,1,6188,50.0
179,1,7611,50.0
180,1,7368,50.0
181,1,7468,50.0
182,1,10040,50.0
183,0,9510,50.0
184,0,9835,57.14285714285714
185,0,9839,64.28571428571429
186,0,9224,64.28571428571429
187,1,8491,71.42857142857143
188,1,9806,71.42857142857143
189,0,9263,64.28571428571429
190,0,9331,71.42857142857143
191,0,10382,71.42857142857143
192,1,7445,78.57142857142857
193,1,9353,71.42857142857143
194,1,8394,64.28571428571429
195,1,8690,64.28571428571429
196,1,8600,64.28571428571429
197,1,7357,64.28571428571429
198,1,6895,57.14285714285714
199,0,9990,57.14285714285714
200,1,8130,64.28571428571429
201,1,8252,57.14285714285714
202,0,9838,57.14285714285714
203,1,7921,64.28571428571429
204,0,8609,57.14285714285714
205,1,8999,57.14285714285714
206,0,7249,57.14285714285714
207,0,10522,64.28571428571429
208,1,7099,64.28571428571429
209,1,9369,64.28571428571429
210,1,9202,57.14285714285714
211,0,8731,57.14285714285714
212,1,6020,64.28571428571429
213,1,8913,64.28571428571429
214,0,10203,57.14285714285714
215,1,8660,64.28571428571429
216,1,7728,57.14285714285714
217,0,11014,57.14285714285714
218,0,11090,57.14285714285714
219,1,10330,57.14285714285714
220,1,8396,50.0
221,0,9664,42.857142857142854
222,1,9276,42.857142857142854
223,0,9728,35.714285714285715
224,1,8846,42.857142857142854
225,1,8430,35.714285714285715
226,1,7093,28.57142857142857
227,0,8599,21.428571428571427
228,1,7660,21.428571428571427
229,0,9549,14.285714285714285
230,1,7657,14.285714285714285
231,0,10179,7.142857142857142
