,game_result,game_score,win_rate
0,0,9826,50.0
1,1,8300,57.14285714285714
2,0,10327,50.0
3,1,7953,57.14285714285714
4,0,9007,50.0
5,1,8343,50.0
6,1,8609,50.0
7,0,8553,42.857142857142854
8,1,7650,42.857142857142854
9,1,8039,35.714285714285715
10,1,11150,35.714285714285715
11,0,9456,35.714285714285715
12,0,9253,42.857142857142854
13,0,9682,42.857142857142854
14,1,7675,42.857142857142854
15,0,7849,35.714285714285715
16,1,7878,42.857142857142854
17,0,9502,35.714285714285715
18,0,11133,42.857142857142854
19,1,7185,50.0
20,0,9557,50.0
21,0,9397,57.14285714285714
22,0,9485,64.28571428571429
23,1,7731,71.42857142857143
24,1,7718,64.28571428571429
25,1,7899,57.14285714285714
26,0,7994,57.14285714285714
27,0,7723,64.28571428571429
28,0,8084,64.28571428571429
29,1,7814,71.42857142857143
30,0,10386,71.42857142857143
31,1,8306,78.57142857142857
32,1,9439,71.42857142857143
33,1,9056,64.28571428571429
34,1,8158,57.14285714285714
35,1,8634,57.14285714285714
36,1,8587,57.14285714285714
37,0,10613,50.0
38,0,8503,57.14285714285714
39,1,5235,64.28571428571429
40,1,9910,57.14285714285714
41,0,11126,50.0
42,1,8483,57.14285714285714
43,1,7913,50.0
44,1,8454,42.857142857142854
45,0,10344,42.857142857142854
46,0,8748,50.0
47,0,10446,50.0
48,1,7323,50.0
49,1,9867,50.0
50,0,9408,42.857142857142854
51,1,9090,50.0
52,1,6794,42.857142857142854
53,0,9759,35.714285714285715
54,0,8906,35.714285714285715
55,1,9743,35.714285714285715
56,0,6519,35.714285714285715
57,0,10434,35.714285714285715
58,1,8435,35.714285714285715
59,1,10307,35.714285714285715
60,0,9358,28.57142857142857
61,0,10065,28.57142857142857
62,1,8802,28.57142857142857
63,0,9050,28.57142857142857
64,1,8436,28.57142857142857
65,0,9221,21.428571428571427
66,0,9014,21.428571428571427
67,0,6780,21.428571428571427
68,0,8694,21.428571428571427
69,1,8311,28.57142857142857
70,0,9361,21.428571428571427
71,0,9544,21.428571428571427
72,1,8048,21.428571428571427
73,0,10010,14.285714285714285
74,0,9934,14.285714285714285
75,0,11387,14.285714285714285
76,1,6001,14.285714285714285
77,0,9654,7.142857142857142
78,0,10610,14.285714285714285
79,0,9281,21.428571428571427
80,0,9705,28.57142857142857
81,0,9263,28.57142857142857
82,1,7590,35.714285714285715
83,0,9515,28.57142857142857
84,0,9435,35.714285714285715
85,0,10614,35.714285714285715
86,0,9705,42.857142857142854
87,0,9289,42.857142857142854
88,0,9771,50.0
89,0,9078,57.14285714285714
90,0,9917,57.14285714285714
91,1,9049,57.14285714285714
92,1,8895,50.0
93,1,8987,42.857142857142854
94,0,10849,35.714285714285715
95,1,8835,42.857142857142854
96,0,8985,35.714285714285715
97,1,8789,42.857142857142854
98,0,10057,35.714285714285715
99,1,8173,35.714285714285715
100,0,9322,35.714285714285715
101,1,8942,42.857142857142854
102,1,8027,35.714285714285715
103,0,10212,28.57142857142857
104,0,9409,28.57142857142857
105,0,9548,35.714285714285715
106,0,10928,35.714285714285715
107,0,8880,35.714285714285715
108,1,7879,42.857142857142854
109,0,10359,35.714285714285715
110,1,8438,42.857142857142854
111,0,9359,42.857142857142854
112,0,9774,50.0
113,1,7758,50.0
114,1,8122,50.0
115,0,9560,42.857142857142854
116,0,9087,50.0
117,0,9130,57.14285714285714
118,1,10226,57.14285714285714
119,0,10282,50.0
120,0,9883,57.14285714285714
121,1,9991,64.28571428571429
122,0,8807,57.14285714285714
123,1,10005,57.14285714285714
124,1,9846,57.14285714285714
125,1,7051,57.14285714285714
126,0,8371,57.14285714285714
127,1,6988,57.14285714285714
128,0,10291,57.14285714285714
129,1,8420,64.28571428571429
130,1,8320,57.14285714285714
131,0,9617,57.14285714285714
132,0,9783,57.14285714285714
133,1,8331,57.14285714285714
134,1,10227,50.0
135,0,9115,50.0
136,0,8800,57.14285714285714
137,1,10314,57.14285714285714
138,1,7786,57.14285714285714
139,1,9874,50.0
140,0,8889,42.857142857142854
141,1,7964,50.0
142,1,9343,42.857142857142854
143,0,9445,35.714285714285715
144,1,8102,42.857142857142854
145,0,9647,42.857142857142854
146,0,10319,50.0
147,0,7861,50.0
148,1,9703,57.14285714285714
149,1,8775,50.0
150,0,9685,50.0
151,1,8444,50.0
152,0,9636,50.0
153,0,8693,57.14285714285714
154,1,9700,64.28571428571429
155,0,9055,57.14285714285714
156,0,9439,57.14285714285714
157,1,7315,57.14285714285714
158,1,7060,57.14285714285714
159,1,8951,50.0
160,0,9758,50.0
161,1,8495,50.0
162,0,8667,42.857142857142854
163,1,8475,50.0
164,0,9009,42.857142857142854
165,1,9993,50.0
166,1,7473,42.857142857142854
167,1,8211,35.714285714285715
168,0,9014,35.714285714285715
169,0,9961,42.857142857142854
170,0,9389,42.857142857142854
171,1,9123,50.0
172,0,8695,42.857142857142854
