,game_result,game_score,win_rate
0,1,8791,92.85714285714286
1,1,8611,92.85714285714286
2,1,8235,85.71428571428571
3,1,6099,85.71428571428571
4,1,7701,78.57142857142857
5,0,9735,71.42857142857143
6,1,9203,71.42857142857143
7,1,10050,64.28571428571429
8,1,9835,64.28571428571429
9,1,9874,64.28571428571429
10,1,8909,57.14285714285714
11,1,7344,50.0
12,1,7297,50.0
13,1,7236,50.0
14,1,8683,42.857142857142854
15,0,9909,35.714285714285715
16,1,7041,42.857142857142854
17,0,9104,42.857142857142854
18,0,10264,42.857142857142854
19,0,9913,50.0
20,0,9957,57.14285714285714
21,1,10027,64.28571428571429
22,1,8899,64.28571428571429
23,0,8763,64.28571428571429
24,0,10278,64.28571428571429
25,1,10449,71.42857142857143
26,1,9142,71.42857142857143
27,0,10860,64.28571428571429
28,0,10607,71.42857142857143
29,1,8112,71.42857142857143
30,1,8175,71.42857142857143
31,0,9628,71.42857142857143
32,1,8120,71.42857142857143
33,1,9451,71.42857142857143
34,1,9565,71.42857142857143
35,1,7758,71.42857142857143
36,1,8477,71.42857142857143
37,0,9248,71.42857142857143
38,1,8153,71.42857142857143
39,1,10209,64.28571428571429
40,0,9802,64.28571428571429
41,1,9049,71.42857142857143
42,0,9826,64.28571428571429
43,1,10250,71.42857142857143
44,1,7673,71.42857142857143
45,0,10382,64.28571428571429
46,1,9156,64.28571428571429
47,1,6411,64.28571428571429
48,1,8204,64.28571428571429
49,1,9634,64.28571428571429
50,1,10122,57.14285714285714
51,0,10444,50.0
52,0,9475,50.0
53,1,10993,50.0
54,1,7063,50.0
55,0,9687,42.857142857142854
56,1,7825,50.0
57,1,7372,42.857142857142854
58,0,10297,35.714285714285715
59,0,8680,35.714285714285715
60,1,6483,35.714285714285715
61,1,8134,35.714285714285715
62,1,7840,28.57142857142857
63,0,9931,21.428571428571427
64,0,9664,21.428571428571427
65,0,11087,21.428571428571427
66,0,10143,21.428571428571427
67,1,7690,21.428571428571427
68,0,10326,14.285714285714285
69,1,8847,14.285714285714285
70,0,10461,7.142857142857142
71,0,9862,7.142857142857142
72,0,10246,14.285714285714285
73,0,10882,14.285714285714285
74,1,7999,21.428571428571427
75,0,10134,14.285714285714285
76,0,9126,14.285714285714285
77,0,9752,14.285714285714285
78,0,9475,14.285714285714285
79,0,10316,21.428571428571427
80,0,10090,21.428571428571427
81,0,10031,21.428571428571427
82,0,9823,21.428571428571427
83,0,8919,21.428571428571427
84,0,9896,21.428571428571427
85,1,7751,28.57142857142857
86,0,10857,28.57142857142857
87,1,8531,35.714285714285715
88,0,8969,28.57142857142857
89,0,10089,28.57142857142857
90,0,10412,35.714285714285715
91,0,10124,35.714285714285715
92,1,7582,35.714285714285715
93,0,9770,28.57142857142857
94,0,6453,28.57142857142857
95,0,9958,28.57142857142857
96,0,10438,28.57142857142857
97,0,9952,28.57142857142857
98,1,8053,28.57142857142857
99,1,8162,21.428571428571427
100,1,8369,14.285714285714285
101,0,9868,7.142857142857142
102,0,9402,7.142857142857142
103,1,10621,7.142857142857142
104,0,10337,0.0
105,0,10103,7.142857142857142
106,0,7893,14.285714285714285
107,0,9234,21.428571428571427
108,0,8460,21.428571428571427
109,0,9372,21.428571428571427
110,0,10243,21.428571428571427
111,0,9565,21.428571428571427
112,0,10319,21.428571428571427
113,0,10412,28.57142857142857
114,0,9509,28.57142857142857
115,0,10044,28.57142857142857
116,0,10761,28.57142857142857
117,0,9655,28.57142857142857
118,1,8905,28.57142857142857
119,1,8479,21.428571428571427
120,1,9148,14.285714285714285
121,0,9746,7.142857142857142
122,0,10414,7.142857142857142
123,0,9524,7.142857142857142
124,0,8205,7.142857142857142
125,0,5858,7.142857142857142
126,1,9478,7.142857142857142
127,0,10620,0.0
128,0,9901,0.0
129,0,10340,0.0
130,0,9851,0.0
131,0,11264,0.0
132,0,10199,0.0
133,0,6284,0.0
134,0,9734,0.0
135,0,10029,0.0
136,0,11199,0.0
137,0,9813,0.0
138,0,10033,0.0
139,0,5425,0.0
140,0,9741,0.0
141,-1,6857,0.0
142,0,9115,0.0
143,0,10150,0.0
144,0,10696,0.0
145,0,8551,0.0
146,0,10527,0.0
147,0,9552,0.0
148,0,10801,0.0
149,0,8827,0.0
150,0,9183,0.0
151,0,5582,0.0
152,0,10005,0.0
153,0,10422,0.0
154,0,9167,0.0
155,0,9879,0.0
156,0,10732,0.0
157,0,8056,0.0
158,0,10014,0.0
159,0,9687,0.0
160,0,10870,0.0
161,0,6908,0.0
162,0,9867,0.0
163,0,10082,0.0
164,0,9170,0.0
165,0,5766,0.0
166,0,8651,0.0
167,0,10279,0.0
168,0,5825,0.0
169,0,10189,0.0
170,0,7940,0.0
171,0,9777,0.0
172,0,9585,0.0
173,0,5437,0.0
174,0,9490,0.0
175,0,10905,0.0
176,0,9768,0.0
177,0,9398,0.0
178,-1,7175,0.0
179,0,10124,0.0
180,0,9244,0.0
181,0,9860,0.0
182,0,9558,0.0
183,0,6379,0.0
184,0,5653,0.0
185,0,4114,0.0
186,0,9822,0.0
187,0,9337,0.0
188,0,8457,0.0
189,0,10300,0.0
190,0,10492,0.0
191,0,9681,0.0
192,0,9686,0.0
193,0,5159,0.0
194,0,9125,0.0
195,0,10235,0.0
196,-1,5372,0.0
197,0,9636,0.0
198,0,8576,0.0
199,0,5652,0.0
200,-1,5473,0.0
201,0,10449,0.0
202,0,9396,0.0
203,0,9181,0.0
204,-1,5581,0.0
205,0,10666,0.0
206,0,9589,0.0
207,0,6233,0.0
208,0,11369,0.0
209,0,9500,0.0
210,0,5184,0.0
211,-1,6111,0.0
212,0,8169,0.0
213,0,8875,0.0
214,0,7731,0.0
215,0,9532,0.0
216,0,8053,0.0
217,0,10342,0.0
218,0,6101,0.0
219,-1,4365,0.0
220,0,9280,0.0
221,0,5699,0.0
222,0,9436,0.0
223,0,5447,0.0
224,0,6127,0.0
225,0,5551,0.0
226,0,9765,0.0
227,0,8875,0.0
228,0,4629,0.0
229,0,5235,0.0
230,0,9662,0.0
231,0,6772,0.0
232,0,5592,0.0
233,0,9970,0.0
234,-1,7212,0.0
235,0,9506,0.0
236,0,6086,0.0
237,-1,7028,0.0
238,0,10109,0.0
239,0,10291,0.0
240,0,9374,0.0
241,0,8912,0.0
242,0,8452,0.0
243,0,6116,0.0
244,0,8446,0.0
245,0,9434,0.0
246,0,4670,0.0
247,0,10586,0.0
248,0,9019,0.0
249,0,10157,0.0
250,0,9688,0.0
251,0,5680,0.0
252,0,10381,0.0
253,0,10422,0.0
254,0,10295,0.0
255,0,10592,0.0
256,0,5242,0.0
257,-1,6069,0.0
258,0,6075,0.0
259,0,10194,0.0
260,0,5635,0.0
261,0,4570,0.0
262,0,7068,0.0
263,0,9436,0.0
264,0,10156,0.0
265,0,6191,0.0
266,-1,4971,0.0
267,0,5513,0.0
268,0,5954,0.0
269,0,5200,0.0
270,0,9875,0.0
271,0,5597,0.0
272,0,10387,0.0
273,0,8412,0.0
274,0,4973,0.0
275,0,10684,0.0
276,0,10217,0.0
277,0,5264,0.0
278,0,9788,0.0
279,0,9066,0.0
280,0,10415,0.0
281,-1,5556,0.0
282,0,7579,0.0
283,0,7306,0.0
284,0,4513,0.0
285,0,5318,0.0
286,-1,6700,0.0
287,0,9807,0.0
288,-1,5932,0.0
289,0,8187,0.0
290,0,9636,0.0
291,0,5519,0.0
292,0,9936,0.0
293,0,9935,0.0
294,0,10790,0.0
295,0,9601,0.0
296,0,5202,0.0
297,0,10432,0.0
298,0,5847,0.0
299,0,5824,0.0
